#{"t_start": 1773675695.5874863, "env_id": "None"}
r,l,t
60.882266,394,87.262557
67.893722,275,87.455738
56.006465,349,88.92701
73.1438,271,89.072947
71.442725,360,89.33135
50.542925,489,89.706633
66.396907,376,90.041138
65.95895,374,90.345496
36.191696,315,91.701385
46.44367,446,92.02316
57.155385,412,92.373907
52.192098,394,92.673838
61.96865,399,93.000084
-18.775662,1000,95.360207
62.935583,171,95.498656
50.233964,131,95.61039
51.58121,225,95.800426
49.923196,286,96.022027
61.885428,174,96.166338
61.857897,133,96.279047
46.064944,179,97.731915
70.003672,115,97.799284
71.199327,126,97.86759
49.319893,300,98.078714
-12.874155,946,98.831105
45.033829,461,100.364528
40.25413,477,100.635076
80.360221,111,100.728767
45.494819,236,100.932361
70.424304,316,101.192717
-25.487986,1000,103.142475
68.877067,131,103.213171
29.034672,534,103.658746
39.229413,386,103.959003
68.59235,313,104.260202
70.482376,174,104.421346
69.973809,139,104.581358
62.483311,198,104.782941
67.797174,311,106.256423
44.99936,452,106.554529
72.503785,361,106.845102
60.833548,426,107.093794
77.517393,303,107.312196
35.251877,526,108.902934
60.788817,240,109.045047
73.198122,295,109.311142
59.975555,144,109.441745
53.828387,311,109.667719
67.642353,274,109.891943
70.715181,234,110.059796
28.605178,272,111.514753
73.795028,229,111.658363
72.075208,318,111.836456
52.327182,485,112.170669
51.906324,268,112.427144
68.389214,307,112.711171
77.047561,289,112.974075
41.139887,475,114.802037
66.146305,293,115.029001
62.188945,230,115.230815
70.330409,253,115.445467
74.814059,329,115.726611
76.096034,280,115.942772
71.368048,271,116.098339
80.674112,214,117.467499
68.942911,300,117.646231
60.591656,439,117.989307
68.5534,313,118.211157
70.332411,304,118.44355
69.601255,306,118.638762
70.543232,356,120.167214
82.311284,270,120.434196
72.568035,256,120.579669
59.517905,280,120.803646
65.966566,327,121.046489
63.382746,331,121.285856
67.905629,284,121.461977
80.183299,265,122.878283
65.63265,310,123.060531
79.04363,217,123.228775
62.844284,333,123.59591
75.602606,267,123.871042
73.123818,295,124.133908
73.256894,310,124.385431
53.830648,434,126.134485
65.652026,367,126.387357
58.393107,391,126.685535
65.106921,188,126.841765
70.886355,319,127.03089
-18.167834,950,128.850074
56.817834,272,129.083942
30.800947,586,129.553477
-33.179601,1000,131.60822
60.969086,264,131.768323
-14.746064,957,132.49911
52.44301,321,132.751459
34.787277,414,134.346398
47.276408,214,134.499564
53.875843,375,134.811098
31.195348,313,135.128682
53.981397,265,135.324787
37.885987,333,135.617681
30.193918,496,137.321801
62.091369,228,137.454133
63.460741,237,137.582938
40.691859,224,137.76199
61.501105,300,137.95112
